epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1166.79,3.05319,13.283,1.83397,0.04564,0.145,0.05589,0.02252,2.47022,10.7341,1.54722,0.0802122,0.000199876,0.000199876
2,2326.35,2.39517,10.3585,1.52828,0.10413,0.17177,0.09528,0.04318,2.14177,8.6694,1.41045,0.0604122,0.000399858,0.000399858
3,3482.39,2.15967,9.06327,1.42332,0.24891,0.15834,0.12195,0.06007,1.95631,7.77071,1.35342,0.0406121,0.000599766,0.000599766
4,4638.02,2.0433,8.43427,1.36847,0.29909,0.17698,0.14935,0.07461,1.8939,7.24298,1.3295,0.0208119,0.000799546,0.000799546
5,5791.45,1.98158,8.04557,1.34332,0.25293,0.19834,0.16822,0.08626,1.81596,6.93501,1.29146,0.0010115,0.000999143,0.000999143
6,6948.51,1.92118,7.61915,1.31633,0.27012,0.20515,0.18192,0.09531,1.75797,6.62302,1.26914,0.000998853,0.000998853,0.000998853
7,8108.7,1.86356,7.30454,1.29543,0.28169,0.2255,0.20061,0.10497,1.73996,6.49538,1.25686,0.000998349,0.000998349,0.000998349
8,9268.82,1.84294,7.12659,1.28937,0.32513,0.22126,0.21319,0.11412,1.70154,6.29798,1.23843,0.000997754,0.000997754,0.000997754
9,10428.8,1.81865,6.96532,1.27426,0.31248,0.24229,0.2214,0.11823,1.67498,6.16594,1.23244,0.000997067,0.000997067,0.000997067
10,22503.5,1.79523,6.86064,1.26604,0.31997,0.24586,0.221,0.1179,1.697,6.23692,1.22622,0.000996289,0.000996289,0.000996289
11,23688.2,1.77216,6.63569,1.25676,0.33583,0.25556,0.2387,0.12724,1.6356,5.97224,1.22011,0.00099542,0.00099542,0.00099542
12,24853.1,1.7561,6.58235,1.25348,0.35276,0.26231,0.24635,0.1322,1.62281,5.85693,1.20444,0.00099446,0.00099446,0.00099446
13,26013.9,1.73014,6.45061,1.24598,0.34968,0.26909,0.25674,0.13856,1.63267,5.88259,1.21014,0.000993409,0.000993409,0.000993409
